,session_id,mall_id,lat,lng,activity,uniqueCount,totActiveDays,home_lat,home_long,mallidNearHome,work_lat,work_long,mallidNearWork,home_office_dist,one_home_dist,one_work_dist
447,148218016280957,1022,40.97739,29.041759,Work,3,15,40.97781278,29.04118053,1022,40.97781278,29.04118053,1022,0,0.07,0.07
448,148218016280957,72,41.001488,29.054775,Residence,1,15,40.97781278,29.04118053,1022,40.97781278,29.04118053,1022,0,2.87,2.87
449,148218016280957,1022,40.97739,29.041759,Residence,5,15,40.97781278,29.04118053,1022,40.97781278,29.04118053,1022,0,0.07,0.07
538,148242640205828,21,41.078178,29.010618,Work,1,15,41.0408285,29.07404388,0,41.0408285,29.07404388,0,0,6.75,6.75
121,148195993311694,31,40.982479,29.13283,Work,1,14,41.00353471,29.20727116,0,41.00353471,29.20727116,0,0,6.68,6.68
309,148205062370314,1096,40.986317,29.103914,Residence,8,14,40.9900771,29.106197,1096,40.90019801,29.20334456,0,12.92,0.46,12.72
333,148205607743965,1108,41.067451,29.043747,Work,2,14,41.07078061,29.04200499,1108,41.07078061,29.04200499,1108,0,0.4,0.4
334,148205616799751,30,41.062481,28.993097,Residence,1,14,41.05271964,28.98301708,0,41.05271964,28.98301708,0,0,1.38,1.38
452,148218618181816,26,41.109474,29.030212,Work,1,14,40.98334076,29.0598046,0,41.10942148,29.02149038,0,14.4,14.26,0.73
453,148218618181816,26,41.109474,29.030212,Residence,1,14,40.98334076,29.0598046,0,41.10942148,29.02149038,0,14.4,14.26,0.73
519,148238184393553,85,41.009701,28.659527,Residence,9,14,41.01240219,28.65689831,85,41.00682829,28.97430018,1101,26.67,0.37,26.44
520,148238184393553,1101,41.006615,28.980225,Work,1,14,41.01240219,28.65689831,85,41.00682829,28.97430018,1101,26.67,27.17,0.5
521,148238184393553,85,41.009701,28.659527,Work,1,14,41.01240219,28.65689831,85,41.00682829,28.97430018,1101,26.67,0.37,26.44
522,148238448311720,1018,41.047531,29.026033,Residence,1,14,41.00586195,28.89317856,0,41.01721282,28.93076221,0,3.4,12.08,8.68
3,148189012643613,33,41.025009,29.106171,Residence,1,13,41.0317326,29.09042101,0,41.02066772,29.01723606,0,6.27,1.52,7.48
10,148189862441002,50,39.875648,32.869797,Residence,8,13,39.89282553,32.86023148,50,39.57785839,31.99426783,0,82,2.08,81.96
11,148189862441002,50,39.875648,32.869797,Work,2,13,39.89282553,32.86023148,50,39.57785839,31.99426783,0,82,2.08,81.96
54,148192002356780,78,41.086391,28.982019,Work,3,13,41.17477495,28.88968414,0,41.08548937,28.98138181,78,12.57,12.52,0.11
60,148192119145475,1078,41.110367,29.131603,Residence,6,13,41.11453212,29.13164906,1078,41.11453212,29.13164906,1078,0,0.46,0.46
61,148192119145475,1078,41.110367,29.131603,Work,2,13,41.11453212,29.13164906,1078,41.11453212,29.13164906,1078,0,0.46,0.46
104,148195693727739,77,40.98867,28.845539,Residence,1,13,40.9853713,28.85046967,0,41.062163,28.98282995,1063,14.02,0.55,14.14
150,148197059914960,1082,41.058075,28.980726,Residence,7,13,41.0575139,28.98217682,1082,41.0575139,28.98217682,1082,0,0.14,0.14
151,148197059914960,1055,41.049744,28.990915,Work,3,13,41.0575139,28.98217682,1082,41.0575139,28.98217682,1082,0,1.13,1.13
152,148197059914960,1082,41.058075,28.980726,Work,1,13,41.0575139,28.98217682,1082,41.0575139,28.98217682,1082,0,0.14,0.14
155,148197149277723,72,41.001488,29.054775,Residence,1,13,41.007067,28.66682867,0,41.007067,28.66682867,0,0,32.6,32.6
211,148198946857027,1025,41.034428,28.983999,Work,1,13,41.05026014,28.78956908,74,41.03649618,28.81754965,0,2.8,16.42,13.98
212,148198946857027,74,41.053925,28.79114,Residence,7,13,41.05026014,28.78956908,74,41.03649618,28.81754965,0,2.8,0.43,2.95
304,148204984859344,89,41.070644,29.00189,Work,2,13,41.06835631,29.00118446,89,41.0141983,29.03394508,0,6.63,0.26,6.84
