"","session_id","mall_id","activity"
"166",148197579447147,74,"Residence"
"167",148197579447147,82,"Residence"
"168",148197579447147,82,"Work"
"169",148197579447147,92,"Residence"
"170",148197604635991,80,"Residence"
"171",148197604635991,80,"Work"
"172",148197787953108,1002,"Work"
"173",148197787953108,1005,"Residence"
"174",148197787953108,1005,"Work"
"175",148197787953108,1025,"Residence"
"176",148197787953108,1077,"Residence"
"177",148197800168897,35,"Work"
"178",148197800168897,77,"Residence"
"179",148197827999897,88,"Work"
"180",148197866289221,82,"Residence"
"181",148197884347580,55,"Residence"
"182",148197884347580,55,"Work"
"183",148197920829347,28,"Work"
"184",148197927938329,1068,"Residence"
"185",148197938098415,1107,"Residence"
"186",148198030104947,1090,"Work"
"187",148198030104947,1121,"Residence"
"188",148198034862073,90,"Residence"
"189",148198161387648,1047,"Residence"
"190",148198161387648,1047,"Work"
"191",148198185832184,79,"Residence"
"192",148198235744003,73,"Work"
"193",148198291055816,1110,"Residence"
"194",148198307563030,1059,"Residence"
"195",148198319838653,1034,"Work"
"196",148198328424475,30,"Residence"
"197",148198328424475,30,"Work"
"198",148198328424475,1082,"Work"
"199",148198391180426,74,"Residence"
"200",148198391180426,74,"Work"
"201",148198394865747,86,"Work"
"202",148198400106211,1023,"Residence"
"203",148198429296621,1059,"Residence"
"204",148198446446788,1064,"Work"
"205",148198478592083,86,"Residence"
"206",148198535649688,25,"Residence"
"207",148198535649688,1049,"Residence"
"208",148198636352894,1067,"Residence"
"209",148198643015243,93,"Work"
"210",148198943239869,1063,"Work"
"211",148198946857027,74,"Residence"
"212",148198946857027,1025,"Work"
"213",148199134027834,53,"Work"
"214",148199218548942,80,"Residence"
"215",148199401110400,37,"Residence"
"216",148199401110400,37,"Work"
"217",148199565147820,79,"Residence"
"218",148199565147820,79,"Work"
"219",148199565147820,1059,"Work"
"220",148199658755221,72,"Residence"
"221",148199658755221,72,"Work"
"222",148200044310562,26,"Work"
"223",148200133269987,86,"Residence"
"224",148200188310930,1043,"Residence"
"225",148200188310930,1043,"Work"
"226",148200188310930,1082,"Work"
"227",148200426767725,1022,"Residence"
"228",148200426767725,1069,"Work"
"229",148200426767725,1071,"Work"
"230",148200498003630,75,"Residence"
"231",148200652522035,63,"Work"
"232",148200652522035,1082,"Residence"
"233",148200652522035,1082,"Work"
"234",148200745073453,1082,"Work"
"235",148200798030898,1033,"Residence"
"236",148200798030898,1033,"Work"
"237",148200798030898,1095,"Residence"
"238",148200798030898,1095,"Work"
"239",148200836344520,78,"Residence"
"240",148200879701910,1052,"Work"
"241",148200959318818,35,"Work"
"242",148201048334851,74,"Work"
"243",148201224902561,1111,"Residence"
"244",148201224902561,1111,"Work"
"245",148201237832477,1067,"Work"
"246",148201367587067,30,"Work"
"247",148201367587067,1046,"Residence"
"248",148201370301917,89,"Residence"
"249",148201370301917,89,"Work"
"250",148201370301917,1005,"Work"
"251",148201418925573,32,"Work"
"252",148201418925573,92,"Work"
"253",148201460730665,84,"Residence"
"254",148201460730665,84,"Work"
"255",148201479243723,32,"Work"
"256",148201479243723,76,"Work"
"257",148201526232068,1052,"Work"
"258",148201556152098,1067,"Residence"
"259",148201820556130,26,"Work"
"260",148201841386219,88,"Residence"
"261",148202009965558,1064,"Work"
"262",148202071116663,75,"Residence"
"263",148202108547857,62,"Work"
"264",148202510784982,79,"Residence"
"265",148202510784982,79,"Work"
"266",148202636468957,36,"Residence"
"267",148202636468957,1011,"Residence"
"268",148202636468957,1011,"Work"
"269",148202884221672,1002,"Work"
"270",148202884221672,1049,"Work"
"271",148202884221672,1057,"Residence"
